
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-08-01 10:15";5.43;"A";3.65;"A";2.78;"A";32.99;"A";29.44;"A";99.86;"A";4195.8;"A";4209;"A";26.51;"A";35.26;"A";999.01;"A";87;"A";39;"A";6;"A";0;"A";34;"A"
"2025-08-01 10:30";5.6;"A";3.82;"A";2.82;"A";34.38;"A";27.41;"A";99.89;"A";4183;"A";4193.93;"A";27.17;"A";34.38;"A";999.06;"A";89;"A";42;"A";7;"A";0;"A";35;"A"
"2025-08-01 10:45";7.12;"A";4.44;"A";3.11;"A";35.39;"A";25.71;"A";99.69;"A";4172.13;"A";4182.73;"A";27.53;"A";33.78;"A";998.97;"A";103;"A";44;"A";8;"A";0;"A";36;"A"
"2025-08-01 11:00";5.93;"A";4.31;"A";3.23;"A";35.64;"A";26.01;"A";99.72;"A";4195;"A";4208.33;"A";27.68;"A";34.62;"A";998.78;"A";113;"A";43;"A";8;"A";0;"A";35;"A"
"2025-08-01 11:15";6.34;"A";4.25;"A";3.05;"A";35.91;"A";25.81;"A";99.82;"A";4196.07;"A";4209.73;"A";27.75;"A";34.52;"A";998.84;"A";111;"A";41;"A";7;"A";0;"A";35;"A"
"2025-08-01 11:30";5.23;"A";4.25;"A";3.13;"A";35.78;"A";25.94;"A";99.89;"A";4196.53;"A";4209.4;"A";27.85;"A";34.76;"A";998.89;"A";113;"A";43;"A";8;"A";0;"A";34;"A"
"2025-08-01 11:45";6.42;"A";4.65;"A";3.25;"A";35.6;"A";26.79;"A";99.89;"A";4176.27;"A";4186.87;"A";28.27;"A";34.42;"A";998.83;"A";118;"A";41;"A";7;"A";0;"A";34;"A"
"2025-08-01 12:00";6.98;"A";4.91;"A";3.45;"A";35.87;"A";26.48;"A";99.69;"A";4179.53;"A";4192;"A";28.61;"A";33.74;"A";998.93;"A";113;"A";41;"A";6;"A";0;"A";35;"A"
"2025-08-01 12:15";6.33;"A";4.68;"A";3.37;"A";36.59;"A";25.75;"A";99.76;"A";4195.4;"A";4208.6;"A";29.4;"A";32.7;"A";998.87;"A";115;"A";42;"A";7;"A";0;"A";35;"A"
"2025-08-01 12:30";5.97;"A";4.3;"A";3.25;"A";37.3;"A";24.82;"A";99.85;"A";4195.8;"A";4208.87;"A";29.78;"A";32.23;"A";998.81;"A";118;"A";43;"A";8;"A";0;"A";35;"A"
