Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
05.02.2025 18:15;95.69;A;4212.33;A;4211.6;A;26.41;A;21.23;A;15.02;A;6.91;A;57.27;A;22;A;1.24;A;77.86;A;1022.27;A;15;A;2;A;7;A;221;A;0.67;A;333.33;A
05.02.2025 18:30;95.73;A;4212.93;A;4212.4;A;28.73;A;20.83;A;16.98;A;6.96;A;60.01;A;21;A;1.06;A;82.59;A;1022.28;A;14;A;2;A;7;A;193;A;0.33;A;226.67;A
05.02.2025 18:45;95.75;A;4212.73;A;4211.8;A;25.37;A;17.65;A;15.54;A;7.43;A;60;A;19;A;0.88;A;84.78;A;1022.35;A;13;A;2;A;6;A;175;A;0.33;A;226.67;A
05.02.2025 19:00;95.77;A;4212.93;A;4211.93;A;24.72;A;17.21;A;15.15;A;7.55;A;60;A;20;A;0.78;A;85.83;A;1022.53;A;12;A;2;A;8;A;196;A;0.67;A;330;A
05.02.2025 19:15;95.78;A;4213.13;A;4212.07;A;24.51;A;17.06;A;15.03;A;7.56;A;60.09;A;20;A;0.71;A;86.1;A;1022.62;A;13;A;2;A;7;A;166;A;0.67;A;336.67;A
05.02.2025 19:30;95.78;A;4213.33;A;4211.8;A;24.04;A;16.74;A;14.74;A;7.64;A;59.88;A;20;A;0.77;A;86.56;A;1022.63;A;14;A;2;A;6;A;167;A;0.33;A;336.67;A
05.02.2025 19:45;95.79;A;4213.6;A;4212.53;A;24.46;A;17.03;A;15;A;7.62;A;60.01;A;20;A;0.72;A;87.07;A;1022.6;A;14;A;2;A;7;A;150;A;0.33;A;333.33;A
05.02.2025 20:00;95.79;A;4213.47;A;4212.2;A;21.48;A;14.98;A;13.19;A;7.78;A;59.94;A;20;A;0.67;A;87.55;A;1022.66;A;14;A;2;A;6;A;181;A;0;A;223.33;A
05.02.2025 20:15;95.79;A;4213.67;A;4212;A;16.23;A;11.38;A;10.03;A;7.78;A;60.08;A;21;A;0.53;A;88.56;A;1022.54;A;15;A;3;A;6;A;302;A;0.33;A;260;A
05.02.2025 20:30;95.79;A;4213.73;A;4212.33;A;14.86;A;10.44;A;9.2;A;7.77;A;60.06;A;21;A;0.45;A;88.9;A;1022.57;A;15;A;2;A;6;A;154;A;1;A;340;A
05.02.2025 20:45;95.79;A;4213.67;A;4212.13;A;16.03;A;11.24;A;9.9;A;7.83;A;60.01;A;20;A;0.47;A;88.93;A;1022.65;A;14;A;2;A;6;A;193;A;0.33;A;326.67;A
05.02.2025 21:00;95.79;A;4213.73;A;4211.8;A;17.31;A;12.12;A;10.68;A;7.56;A;60.04;A;19;A;0.46;A;88.02;A;1022.71;A;15;A;2;A;5;A;147;A;0.67;A;333.33;A
05.02.2025 21:15;95.79;A;4213.53;A;4212.33;A;19.33;A;13.51;A;11.9;A;7.68;A;60.04;A;19;A;0.46;A;88.48;A;1022.7;A;14;A;2;A;5;A;130;A;0;A;326.67;A
05.02.2025 21:30;95.79;A;4213.53;A;4212.33;A;18.59;A;13;A;11.45;A;7.79;A;59.97;A;22;A;0.46;A;88.86;A;1022.77;A;11;A;1;A;10;A;195;A;0;A;330;A
05.02.2025 21:45;95.79;A;4213.73;A;4212.33;A;19.15;A;13.38;A;11.79;A;7.61;A;59.97;A;19;A;0.44;A;88.26;A;1022.78;A;13;A;2;A;6;A;134;A;0.67;A;333.33;A
05.02.2025 22:00;95.79;A;4213.53;A;4211.93;A;22.49;A;15.67;A;13.8;A;7.53;A;59.93;A;19;A;0.45;A;87.59;A;1022.82;A;13;A;2;A;5;A;149;A;0;A;110;A
05.02.2025 22:15;95.79;A;4213.73;A;4211.73;A;26.65;A;18.53;A;16.32;A;7.29;A;59.96;A;19;A;0.38;A;86.94;A;1022.9;A;14;A;3;A;6;A;199;A;0.33;A;133.33;A
05.02.2025 22:30;95.79;A;4214;A;4212.47;A;32.62;A;22.62;A;19.92;A;7.22;A;59.91;A;19;A;0.27;A;87.1;A;1022.98;A;13;A;2;A;6;A;166;A;0;A;200;A
05.02.2025 22:45;95.79;A;4213.8;A;4211.73;A;26.77;A;18.61;A;16.39;A;7.14;A;60.02;A;19;A;0.15;A;87.34;A;1022.98;A;12;A;3;A;7;A;271;A;0;A;103.33;A
05.02.2025 23:00;95.79;A;4213.8;A;4211.87;A;30.02;A;20.84;A;18.36;A;6.9;A;59.88;A;19;A;-0.06;A;86.74;A;1023.06;A;9;A;4;A;9;A;348;A;0;A;310;A
05.02.2025 23:15;95.79;A;4213.73;A;4212.13;A;38.68;A;26.78;A;23.59;A;6.59;A;60.07;A;19;A;-0.32;A;87.2;A;1023.21;A;10;A;2;A;9;A;186;A;0;A;320;A
05.02.2025 23:30;95.78;A;4213.73;A;4211.87;A;42.43;A;29.36;A;25.86;A;6.47;A;60.05;A;17;A;-0.56;A;87.6;A;1023.21;A;9;A;4;A;8;A;189;A;0;A;300;A
05.02.2025 23:45;95.78;A;4213.8;A;4211.53;A;41.99;A;29.05;A;25.59;A;6.29;A;60.05;A;18;A;-0.81;A;88.07;A;1023.32;A;10;A;4;A;8;A;194;A;0;A;290;A
06.02.2025 00:00;95.78;A;4213.73;A;4211.6;A;39.33;A;27.23;A;23.98;A;6.26;A;59.97;A;18;A;-0.96;A;88.92;A;1023.36;A;9;A;3;A;10;A;196;A;0;A;326.67;A
06.02.2025 00:15;95.78;A;4213.73;A;4211.93;A;34.12;A;23.65;A;20.83;A;6.29;A;60.12;A;18;A;-0.9;A;89.31;A;1023.45;A;7;A;3;A;11;A;196;A;0;A;326.67;A
06.02.2025 00:30;95.78;A;4213.87;A;4212.47;A;34.81;A;24.13;A;21.25;A;6.41;A;59.96;A;16;A;-0.94;A;89.46;A;1023.45;A;7;A;3;A;10;A;202;A;0;A;220;A
06.02.2025 00:45;95.78;A;4213.93;A;4212.2;A;32.3;A;22.4;A;19.73;A;6.28;A;59.88;A;17;A;-0.99;A;88.99;A;1023.41;A;8;A;3;A;9;A;192;A;0;A;320;A
06.02.2025 01:00;95.78;A;4213.8;A;4211.8;A;34.23;A;23.73;A;20.9;A;6.13;A;59.92;A;16;A;-1.14;A;88.91;A;1023.52;A;9;A;4;A;7;A;198;A;0;A;330;A
06.02.2025 01:15;95.78;A;4213.73;A;4212.27;A;36.49;A;25.28;A;22.26;A;5.97;A;59.86;A;16;A;-1.3;A;88.86;A;1023.67;A;9;A;4;A;7;A;204;A;0;A;316.67;A
06.02.2025 01:30;95.78;A;4213.8;A;4212;A;38.22;A;26.47;A;23.31;A;5.65;A;60.07;A;16;A;-1.58;A;89.24;A;1024.07;A;8;A;4;A;8;A;210;A;0.33;A;220;A
06.02.2025 01:45;95.78;A;4213.6;A;4211.07;A;42.01;A;29.52;A;25.72;A;5.52;A;60.11;A;17;A;-1.74;A;89.4;A;1024.24;A;6;A;4;A;11;A;286;A;0.67;A;140;A
06.02.2025 02:00;95.78;A;4213.87;A;4211.73;A;58.38;A;40.91;A;34.61;A;5.46;A;59.94;A;16;A;-1.83;A;89.41;A;1024.34;A;5;A;4;A;12;A;355;A;0;A;276.67;A
06.02.2025 02:15;95.78;A;4213.87;A;4211.73;A;53.88;A;37.21;A;32.77;A;5.07;A;60.24;A;16;A;-2;A;88.95;A;1024.56;A;4;A;4;A;13;A;354;A;0;A;210;A
06.02.2025 02:30;95.77;A;4213.87;A;4211.8;A;44.9;A;31.05;A;27.34;A;5.49;A;59.98;A;17;A;-1.85;A;89.52;A;1024.5;A;5;A;4;A;12;A;314;A;0;A;320;A
06.02.2025 02:45;95.77;A;4213.93;A;4211.73;A;35.49;A;24.6;A;21.66;A;5.26;A;59.98;A;16;A;-1.87;A;88.58;A;1024.5;A;6;A;4;A;10;A;267;A;0.33;A;266.67;A
06.02.2025 03:00;95.77;A;4213.73;A;4211.47;A;36.33;A;25.17;A;22.17;A;5.35;A;59.93;A;17;A;-1.83;A;88.81;A;1024.67;A;5;A;4;A;11;A;270;A;0;A;206.67;A
06.02.2025 03:15;95.77;A;4213.87;A;4212.07;A;41.88;A;28.97;A;25.52;A;5.36;A;60.01;A;17;A;-1.77;A;88.99;A;1024.81;A;4;A;4;A;13;A;291;A;0;A;266.67;A
06.02.2025 03:30;95.77;A;4213.8;A;4211.93;A;42.92;A;29.69;A;26.15;A;5.45;A;59.83;A;17;A;-1.68;A;88.34;A;1024.8;A;2;A;3;A;14;A;309;A;0;A;126.67;A
06.02.2025 03:45;95.77;A;4213.87;A;4211.93;A;45.27;A;31.3;A;27.57;A;5.16;A;60;A;17;A;-1.87;A;87.94;A;1024.98;A;0;A;4;A;17;A;319;A;0;A;140;A
06.02.2025 04:00;95.77;A;4213.73;A;4211.73;A;43.99;A;30.43;A;26.8;A;5.31;A;60.01;A;17;A;-1.82;A;89.02;A;1025.28;A;0;A;3;A;17;A;275;A;0.33;A;203.33;A
06.02.2025 04:15;95.77;A;4213.8;A;4211.93;A;44.95;A;31.08;A;27.37;A;5.14;A;60.02;A;16;A;-1.85;A;88.7;A;1025.39;A;0;A;4;A;16;A;291;A;0;A;286.67;A
06.02.2025 04:30;95.77;A;4213.87;A;4211.73;A;42.52;A;29.41;A;25.91;A;5.3;A;60.01;A;17;A;-1.8;A;88.83;A;1025.57;A;1;A;4;A;16;A;249;A;0;A;140;A
06.02.2025 04:45;95.77;A;4214;A;4212;A;41.25;A;28.54;A;25.14;A;5.44;A;59.98;A;17;A;-1.59;A;88.71;A;1025.82;A;1;A;3;A;16;A;237;A;0;A;93.33;A
06.02.2025 05:00;95.77;A;4213.8;A;4211.47;A;27.57;A;19.16;A;16.88;A;5.49;A;60.01;A;18;A;-1.49;A;87.99;A;1026.11;A;10;A;3;A;7;A;151;A;0;A;50;A
06.02.2025 05:15;95.77;A;4213.8;A;4211.8;A;30.33;A;21.05;A;18.54;A;5.44;A;59.92;A;18;A;-1.43;A;87.15;A;1026.13;A;11;A;3;A;6;A;150;A;0;A;60;A
06.02.2025 05:30;95.77;A;4213.87;A;4211.87;A;24.57;A;17.1;A;15.06;A;5.32;A;59.94;A;18;A;-1.41;A;86.96;A;1026.42;A;11;A;3;A;7;A;127;A;0;A;16.67;A
06.02.2025 05:45;95.77;A;4213.73;A;4211.4;A;21.26;A;14.83;A;13.06;A;5.38;A;59.95;A;19;A;-1.51;A;87.24;A;1026.67;A;12;A;3;A;7;A;114;A;0;A;160;A
06.02.2025 06:00;95.77;A;4213.87;A;4212.07;A;18.01;A;12.6;A;11.1;A;5.22;A;60.16;A;20;A;-1.55;A;87.37;A;1026.84;A;14;A;2;A;6;A;108;A;0.33;A;350;A
06.02.2025 06:15;95.76;A;4213.8;A;4211.93;A;17.37;A;12.16;A;10.71;A;5.3;A;59.97;A;20;A;-1.46;A;86.77;A;1026.9;A;13;A;2;A;7;A;106;A;0;A;76.67;A
06.02.2025 06:30;95.76;A;4213.8;A;4211.53;A;19.17;A;13.4;A;11.8;A;5.45;A;59.97;A;20;A;-1.34;A;87.26;A;1027.17;A;12;A;2;A;9;A;119;A;0.33;A;270;A
06.02.2025 06:45;95.76;A;4213.93;A;4212;A;24.85;A;17.3;A;15.23;A;5.54;A;59.95;A;19;A;-1.22;A;86.67;A;1027.21;A;12;A;2;A;7;A;127;A;0;A;60;A
06.02.2025 07:00;95.76;A;4213.87;A;4212.27;A;24.05;A;16.74;A;14.75;A;5.56;A;59.91;A;19;A;-1.15;A;86.78;A;1027.43;A;11;A;1;A;8;A;131;A;0;A;50;A
06.02.2025 07:15;95.76;A;4213.8;A;4212.2;A;25.27;A;17.58;A;15.49;A;5.44;A;59.99;A;20;A;-1.03;A;85.83;A;1027.66;A;11;A;2;A;9;A;146;A;0;A;230;A
06.02.2025 07:30;95.76;A;4213.73;A;4211.8;A;20.79;A;14.51;A;12.78;A;5.25;A;60.04;A;22;A;-0.89;A;84.27;A;1027.91;A;12;A;1;A;10;A;149;A;0;A;160;A
06.02.2025 07:45;95.76;A;4213.73;A;4211.6;A;16.65;A;11.67;A;10.28;A;5.25;A;60.02;A;23;A;-0.76;A;83.78;A;1028.1;A;14;A;2;A;9;A;130;A;0;A;163.33;A
06.02.2025 08:00;95.76;A;4213.8;A;4212.27;A;18.26;A;13.45;A;11.14;A;5.49;A;59.79;A;23;A;-0.64;A;83.41;A;1028.15;A;13;A;1;A;10;A;142;A;0;A;176.67;A
06.02.2025 08:15;95.76;A;4213.8;A;4211.8;A;18.41;A;13.25;A;11.23;A;5.32;A;59.89;A;24;A;-0.53;A;82.51;A;1028.31;A;14;A;1;A;10;A;148;A;0.33;A;163.33;A
06.02.2025 08:30;95.76;A;4213.8;A;4212;A;19.49;A;14.76;A;11.37;A;5.15;A;59.54;A;25;A;-0.47;A;80.07;A;1028.49;A;15;A;1;A;10;A;153;A;0.67;A;160;A
06.02.2025 08:45;95.76;A;4213.8;A;4211.93;A;27.01;A;21.94;A;14.77;A;5.02;A;59.58;A;25;A;-0.39;A;80.05;A;1028.57;A;15;A;1;A;9;A;174;A;0;A;73.33;A
06.02.2025 09:00;95.65;A;4187.33;A;4182.27;A;32.28;A;22.75;A;19.53;A;5.29;A;59.97;A;24;A;-0.25;A;80.97;A;1028.74;A;14;A;1;A;10;A;200;A;0.33;A;100;A
06.02.2025 09:15;95.53;A;4211.07;A;4210.07;A;32.6;A;26.57;A;17.93;A;5.27;A;59.4;A;25;A;-0.12;A;80.21;A;1028.87;A;16;A;1;A;9;A;189;A;0.33;A;36.67;A
06.02.2025 09:30;95.62;A;4211.93;A;4211.07;A;29.24;A;23.29;A;17.42;A;5.34;A;59.7;A;24;A;-0.05;A;79.39;A;1028.96;A;16;A;1;A;8;A;174;A;0;A;136.67;A
06.02.2025 09:45;95.66;A;4212.73;A;4211.73;A;25.57;A;21.17;A;14.65;A;5.47;A;59.4;A;24;A;0.05;A;79.93;A;1029.14;A;16;A;1;A;8;A;148;A;0.33;A;86.67;A
06.02.2025 10:00;95.7;A;4212.87;A;4211.73;A;24.32;A;20.11;A;14.17;A;5.56;A;59.33;A;24;A;0.03;A;80.09;A;1029.24;A;17;A;1;A;6;A;131;A;0;A;53.33;A
06.02.2025 10:15;95.72;A;4212.8;A;4212.07;A;26.4;A;21.91;A;15.28;A;5.63;A;59.18;A;24;A;0.07;A;79.45;A;1029.36;A;17;A;1;A;7;A;150;A;0;A;80;A
06.02.2025 10:30;95.73;A;4213.13;A;4212.27;A;30.9;A;25.21;A;17.44;A;5.62;A;58.93;A;25;A;-0.2;A;80.77;A;1029.7;A;17;A;1;A;7;A;148;A;0.33;A;63.33;A
06.02.2025 10:45;95.66;A;4192.67;A;4188.47;A;35.34;A;27.48;A;19.9;A;5.5;A;59.62;A;24;A;-0.07;A;80.47;A;1029.78;A;17;A;1;A;7;A;147;A;0.33;A;53.33;A
06.02.2025 11:00;95.58;A;4211.67;A;4211;A;38.77;A;29.17;A;22.57;A;5.6;A;59.85;A;23;A;0.04;A;80.96;A;1029.91;A;17;A;1;A;7;A;159;A;0;A;40;A
06.02.2025 11:15;95.64;A;4212.47;A;4211.67;A;35.67;A;28.3;A;19.39;A;5.63;A;59.28;A;24;A;0.07;A;79.86;A;1029.92;A;18;A;1;A;6;A;152;A;0.33;A;23.33;A
06.02.2025 11:30;95.68;A;4212.73;A;4211.8;A;37.77;A;30.54;A;21.54;A;5.63;A;58.78;A;25;A;0.21;A;79.57;A;1029.96;A;18;A;1;A;7;A;153;A;0;A;173.33;A
06.02.2025 11:45;95.71;A;4212.93;A;4211.87;A;43.48;A;34.18;A;23.02;A;5.73;A;58.12;A;25;A;0.28;A;76.66;A;1030.07;A;19;A;1;A;6;A;161;A;0;A;63.33;A
06.02.2025 12:00;95.72;A;4212.87;A;4212;A;54.57;A;40.02;A;26.35;A;5.82;A;56.77;A;26;A;0.33;A;76.57;A;1030.08;A;20;A;1;A;6;A;188;A;0.33;A;123.33;A
06.02.2025 12:15;95.73;A;4213.33;A;4212;A;53.11;A;40.2;A;27.82;A;5.89;A;56.81;A;26;A;0.49;A;75.96;A;1030.08;A;19;A;1;A;6;A;209;A;0.33;A;53.33;A
06.02.2025 12:30;95.74;A;4213.73;A;4212.33;A;56.08;A;42.39;A;28.68;A;5.95;A;56.66;A;26;A;0.6;A;75.42;A;1029.95;A;19;A;1;A;7;A;226;A;0.33;A;106.67;A
06.02.2025 12:45;95.75;A;4213.67;A;4212.07;A;54.3;A;41.15;A;28.04;A;6.06;A;56.75;A;26;A;0.87;A;75.49;A;1029.87;A;18;A;1;A;8;A;263;A;0;A;66.67;A
06.02.2025 13:00;95.75;A;4213.73;A;4212.07;A;54.99;A;43.48;A;29.57;A;6.19;A;56.51;A;25;A;0.8;A;74.49;A;1030.06;A;17;A;1;A;8;A;362;A;0.33;A;113.33;A
06.02.2025 13:15;95.75;A;4213.93;A;4212.73;A;44.86;A;36.52;A;25.29;A;6.29;A;55.74;A;26;A;0.92;A;74.68;A;1029.9;A;18;A;1;A;7;A;258;A;0.67;A;190;A
06.02.2025 13:30;95.75;A;4213.6;A;4212.33;A;37.65;A;31.43;A;21.92;A;6.36;A;54.22;A;26;A;0.92;A;72.55;A;1029.91;A;20;A;0;A;6;A;153;A;0.33;A;83.33;A
06.02.2025 13:45;95.75;A;4213.53;A;4212.27;A;39.64;A;32.4;A;22.58;A;6.4;A;54.56;A;26;A;0.97;A;72.35;A;1029.98;A;19;A;1;A;7;A;157;A;0.67;A;190;A
06.02.2025 14:00;95.75;A;4213.87;A;4212.27;A;36.88;A;30.9;A;21.53;A;6.35;A;54.81;A;25;A;0.67;A;74.49;A;1030.28;A;18;A;1;A;7;A;175;A;0;A;73.33;A
06.02.2025 14:15;95.75;A;4213.67;A;4212.13;A;43.57;A;34.84;A;23.35;A;6.2;A;55.02;A;24;A;0.36;A;74.57;A;1030.52;A;17;A;2;A;7;A;172;A;0.67;A;60;A
06.02.2025 14:30;95.75;A;4213.73;A;4212.33;A;45.3;A;36.61;A;25.09;A;5.96;A;55.4;A;23;A;0.19;A;75.63;A;1030.66;A;15;A;1;A;8;A;180;A;0;A;96.67;A
06.02.2025 14:45;95.64;A;4192.6;A;4187.8;A;45.89;A;36.64;A;25.15;A;5.79;A;55.64;A;23;A;0;A;76.03;A;1030.88;A;15;A;1;A;8;A;192;A;0.33;A;66.67;A
06.02.2025 15:00;95.58;A;4211.6;A;4210.73;A;39.08;A;31.79;A;21.92;A;5.59;A;55.74;A;23;A;-0.14;A;75.57;A;1031.02;A;16;A;1;A;7;A;174;A;0.33;A;86.67;A
06.02.2025 15:15;95.65;A;4212.67;A;4211.67;A;36.22;A;28.96;A;19.89;A;5.41;A;55.6;A;24;A;-0.25;A;76.28;A;1031.16;A;16;A;1;A;8;A;154;A;0;A;150;A
06.02.2025 15:30;95.68;A;4212.87;A;4211.73;A;33.91;A;27.54;A;18.96;A;5.28;A;55.83;A;23;A;-0.34;A;75.87;A;1031.41;A;16;A;1;A;8;A;145;A;0.33;A;110;A
06.02.2025 15:45;95.7;A;4213;A;4212;A;35.76;A;27.91;A;19.6;A;5.18;A;56.26;A;24;A;-0.35;A;76.47;A;1031.52;A;15;A;1;A;9;A;149;A;0;A;66.67;A
06.02.2025 16:00;95.72;A;4213.13;A;4211.8;A;36.41;A;28.19;A;19.01;A;5.12;A;56.08;A;23;A;-0.45;A;75.76;A;1031.48;A;16;A;1;A;7;A;151;A;0.33;A;103.33;A
06.02.2025 16:15;95.73;A;4213.73;A;4211.8;A;32.93;A;25.95;A;18.03;A;5.02;A;55.55;A;23;A;-0.66;A;75;A;1031.67;A;16;A;1;A;7;A;148;A;1;A;63.33;A
06.02.2025 16:30;95.74;A;4213.67;A;4211.93;A;31.58;A;25.8;A;17.74;A;4.83;A;55.5;A;23;A;-0.88;A;76.65;A;1031.66;A;15;A;2;A;8;A;152;A;0.33;A;63.33;A
06.02.2025 16:45;95.74;A;4213.8;A;4212;A;33.47;A;26.78;A;18.37;A;4.63;A;55.81;A;23;A;-1.09;A;76.86;A;1031.68;A;15;A;1;A;9;A;158;A;0.33;A;90;A
06.02.2025 17:00;95.74;A;4213.93;A;4212.47;A;36.97;A;29.26;A;20.3;A;4.46;A;57.11;A;23;A;-1.11;A;77.57;A;1031.84;A;13;A;1;A;10;A;184;A;0.67;A;116.67;A
06.02.2025 17:15;95.74;A;4213.93;A;4212.53;A;38.18;A;30.56;A;20.94;A;4.36;A;57.35;A;25;A;-1.18;A;77.42;A;1032.08;A;14;A;1;A;11;A;171;A;0.67;A;76.67;A
06.02.2025 17:30;95.74;A;4213.8;A;4212.07;A;39.55;A;31.93;A;22.39;A;4.3;A;58.31;A;23;A;-1.16;A;78.64;A;1032.23;A;14;A;1;A;9;A;172;A;0;A;103.33;A
06.02.2025 17:45;95.75;A;4213.87;A;4211.87;A;38.37;A;30.92;A;21.61;A;4.28;A;57.95;A;23;A;-1.2;A;77.94;A;1032.43;A;15;A;1;A;8;A;180;A;0.33;A;113.33;A
06.02.2025 18:00;95.74;A;4213.67;A;4211.87;A;37.38;A;30.84;A;21.55;A;4.24;A;58.21;A;24;A;-1.21;A;78.21;A;1032.37;A;16;A;1;A;8;A;163;A;0.33;A;53.33;A
06.02.2025 18:15;95.75;A;4213.8;A;4211.8;A;33.09;A;27.45;A;19.64;A;4.22;A;58.54;A;24;A;-1.18;A;78.62;A;1032.52;A;17;A;1;A;7;A;150;A;0;A;26.67;A
06.02.2025 18:30;95.74;A;4213.8;A;4212.13;A;31.88;A;26.76;A;18.64;A;4.22;A;58.62;A;24;A;-1.14;A;78.57;A;1032.63;A;17;A;1;A;7;A;138;A;0;A;80;A
06.02.2025 18:45;95.74;A;4213.73;A;4211.93;A;32.74;A;27.32;A;18.96;A;4.23;A;58.67;A;25;A;-1.11;A;78.11;A;1032.7;A;17;A;1;A;8;A;152;A;0.67;A;103.33;A
06.02.2025 19:00;95.74;A;4214;A;4212.27;A;33.66;A;28.14;A;19.59;A;4.28;A;57.79;A;26;A;-1.08;A;77.11;A;1032.68;A;17;A;1;A;9;A;136;A;0;A;80;A
06.02.2025 19:15;95.74;A;4213.8;A;4212.07;A;38.1;A;31.21;A;21.03;A;4.28;A;57.76;A;25;A;-1.11;A;76.82;A;1032.76;A;18;A;1;A;8;A;140;A;0.33;A;76.67;A
06.02.2025 19:30;95.74;A;4213.87;A;4212.13;A;38.49;A;31.64;A;21.54;A;4.29;A;57.6;A;25;A;-1.09;A;76.83;A;1032.83;A;17;A;0;A;8;A;136;A;0.33;A;80;A
06.02.2025 19:45;95.74;A;4213.87;A;4211.67;A;36.23;A;30.85;A;20.86;A;4.29;A;57.58;A;25;A;-1.11;A;76.71;A;1032.9;A;17;A;1;A;8;A;139;A;0;A;80;A
06.02.2025 20:00;95.74;A;4213.87;A;4212.13;A;28.26;A;24.11;A;16.22;A;4.29;A;56.67;A;25;A;-1.21;A;75.8;A;1032.89;A;19;A;0;A;7;A;122;A;1;A;116.67;A
06.02.2025 20:15;95.74;A;4213.73;A;4212.4;A;30.37;A;25.33;A;17.94;A;4.22;A;57.25;A;25;A;-1.27;A;77.48;A;1033.27;A;19;A;1;A;7;A;184;A;0.33;A;73.33;A
06.02.2025 20:30;95.74;A;4213.8;A;4212.07;A;31.52;A;26.48;A;18.26;A;4.17;A;57.78;A;25;A;-1.29;A;77.97;A;1033.29;A;19;A;1;A;6;A;152;A;1;A;116.67;A
06.02.2025 20:45;95.74;A;4213.8;A;4211.87;A;30.75;A;26.34;A;18.56;A;4.13;A;58;A;25;A;-1.32;A;78.01;A;1033.43;A;19;A;0;A;5;A;125;A;0.67;A;80;A
06.02.2025 21:00;95.73;A;4213.93;A;4212.13;A;29.5;A;25.12;A;17.2;A;4.1;A;58.16;A;25;A;-1.39;A;77.91;A;1033.43;A;20;A;1;A;5;A;114;A;0.67;A;110;A
06.02.2025 21:15;95.73;A;4213.87;A;4212;A;28.24;A;23.53;A;16.35;A;4.03;A;57.87;A;25;A;-1.48;A;77.94;A;1033.49;A;21;A;1;A;5;A;108;A;0.67;A;110;A
06.02.2025 21:30;95.67;A;4192.87;A;4187.73;A;30.35;A;25.39;A;17.84;A;3.95;A;58.44;A;25;A;-1.46;A;78.4;A;1033.46;A;20;A;1;A;5;A;114;A;0;A;83.33;A
06.02.2025 21:45;95.49;A;4203.73;A;4201.6;A;34.35;A;28.97;A;19.27;A;3.93;A;58.5;A;26;A;-1.43;A;78.18;A;1033.39;A;20;A;1;A;5;A;122;A;0;A;73.33;A
06.02.2025 22:00;95.57;A;4211.93;A;4210.47;A;30.77;A;25.61;A;18.02;A;3.96;A;57.88;A;26;A;-1.36;A;76.58;A;1033.42;A;21;A;0;A;5;A;114;A;0.33;A;106.67;A
06.02.2025 22:15;95.63;A;4212.8;A;4211.8;A;30.36;A;25.6;A;18.04;A;4;A;57.37;A;26;A;-1.28;A;75.89;A;1033.46;A;21;A;0;A;6;A;111;A;0.67;A;126.67;A
06.02.2025 22:30;95.66;A;4212.87;A;4211.53;A;30;A;24.8;A;17.18;A;4.06;A;56.36;A;27;A;-1.24;A;74.58;A;1033.3;A;22;A;0;A;5;A;109;A;0;A;73.33;A
06.02.2025 22:45;95.69;A;4212.93;A;4211.4;A;31.58;A;26.92;A;18.77;A;4.11;A;56.7;A;27;A;-1.24;A;76;A;1033.16;A;21;A;0;A;5;A;113;A;0.67;A;50;A
06.02.2025 23:00;95.7;A;4213.8;A;4211.53;A;31.6;A;26.5;A;18.24;A;4.12;A;56.54;A;26;A;-1.23;A;75.25;A;1033.12;A;21;A;0;A;6;A;118;A;0.33;A;100;A
06.02.2025 23:15;95.71;A;4213.93;A;4211.8;A;32.38;A;27.37;A;19.19;A;4.14;A;56.97;A;25;A;-1.18;A;75.94;A;1033.2;A;20;A;0;A;6;A;113;A;0;A;70;A
06.02.2025 23:30;95.72;A;4213.8;A;4211.8;A;34.77;A;29.72;A;20.14;A;4.18;A;56.71;A;25;A;-1.16;A;75.6;A;1033.23;A;20;A;0;A;6;A;112;A;0.33;A;103.33;A
06.02.2025 23:45;95.72;A;4213.73;A;4211.87;A;36.18;A;30.8;A;20.53;A;4.23;A;56.84;A;25;A;-1.09;A;76.09;A;1033.13;A;19;A;1;A;5;A;113;A;0;A;83.33;A
07.02.2025 00:00;95.66;A;4204.87;A;4202.6;A;34.98;A;29.6;A;20.62;A;4.26;A;56.58;A;25;A;-1.1;A;75.07;A;1033.13;A;19;A;1;A;6;A;115;A;0;A;60;A
07.02.2025 00:15;95.66;A;4212.87;A;4211.33;A;30.14;A;25.49;A;17.71;A;4.27;A;55.34;A;25;A;-1.17;A;74.18;A;1032.97;A;20;A;1;A;5;A;107;A;0.67;A;96.67;A
